Branch Name,Address,Latitude,Longitude,Monday Opens,Monday Closes,Tuesday Opens,Tuesday Closes,Wednesday Opens,Wednesday Closes,Thursday Opens,Thursday Closes,Friday Opens,Friday Closes,Saturday Opens,Saturday Closes,Sunday Opens,Sunday Closes
Atkinson,1960 W Atkinson Ave,43.089935,-87.936401,12:00pm,8:00pm,12:00pm,8:00pm,12:00pm,8:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,5:00pm,Closed,Closed
Bay View,2566 S Kinnickkinnic Ave,42.998197,-87.900262,10:00am,8:00pm,12:00pm,8:00pm,12:00pm,8:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,5:00pm,Closed,Closed
Capitol,3969 N 74th St,43.089408,-88.004755,12:00pm,8:00pm,12:00pm,8:00pm,12:00pm,8:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,5:00pm,Closed,Closed
Center Street,2727 W Fond du Lac Ave,43.067614,-87.947657,10:00am,8:00pm,12:00pm,8:00pm,12:00pm,8:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,5:00pm,Closed,Closed
Central,814 W Wisconsin Ave,43.038847,-87.922466,12:00pm,8:00pm,9:00am,8:00pm,9:00am,6:00pm,9:00am,6:00pm,10:00am,6:00pm,10:00am,5:00pm,Closed,Closed
East,2320 N Cramer St,43.060743, -87.886842,10:00am,8:00pm,12:00pm,8:00pm,12:00pm,8:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,5:00pm,Closed,Closed
Martin Luther King,310 W Locust St,43.071206,-87.914331,12:00pm,8:00pm,12:00pm,8:00pm,12:00pm,8:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,5:00pm,Closed,Closed
Mill Road,6431 N 76th St,43.135046,-88.005883,12:00pm,8:00pm,12:00pm,8:00pm,12:00pm,8:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,5:00pm,Closed,Closed
Mitchell Street,906 W Historic Mitchell St,43.012298,-87.923091,12:00pm,8:00pm,12:00pm,8:00pm,12:00pm,8:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,5:00pm,Closed,Closed
Tippecanoe,3912 S Howell Ave,42.973253,-87.909438,12:00pm,8:00pm,12:00pm,8:00pm,12:00pm,8:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,5:00pm,Closed,Closed
Villard Square,5190 N 35th St,43.111739,-87.956449,10:00am,8:00pm,12:00pm,8:00pm,12:00pm,8:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,5:00pm,Closed,Closed
Washington Park,2121 N Sherman Blvd,43.057494,-87.967698,10:00am,8:00pm,12:00pm,8:00pm,12:00pm,8:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,5:00pm,Closed,Closed
Zablocki Branch,3501 W Oklahome Ave,42.988402,-87.958407,10:00am,8:00pm,12:00pm,8:00pm,12:00pm,8:00pm,10:00am,6:00pm,10:00am,6:00pm,10:00am,5:00pm,Closed,Closed
